[15/40][350/504]	Loss_D: 0.3073	Loss_G: 4.6171	D(x): 0.9008	D(G(z)): 0.1261 / 0.0226
[15/40][400/504]	Loss_D: 0.1967	Loss_G: 2.3695	D(x): 0.8700	D(G(z)): 0.0279 / 0.1658
[15/40][450/504]	Loss_D: 0.1520	Loss_G: 4.3645	D(x): 0.9705	D(G(z)): 0.0992 / 0.0241
[15/40][500/504]	Loss_D: 0.1255	Loss_G: 4.0253	D(x): 0.9164	D(G(z)): 0.0291 / 0.0393
[16/40][0/504]	Loss_D: 0.1150	Loss_G: 5.0347	D(x): 0.9778	D(G(z)): 0.0752 / 0.0115
[16/40][50/504]	Loss_D: 0.1275	Loss_G: 3.6153	D(x): 0.9305	D(G(z)): 0.0429 / 0.0570
[16/40][100/504]	Loss_D: 0.1205	Loss_G: 4.0451	D(x): 0.9207	D(G(z)): 0.0243 / 0.0456
[16/40][150/504]	Loss_D: 1.3276	Loss_G: 3.5664	D(x): 0.7915	D(G(z)): 0.5259 / 0.0776
[16/40][200/504]	Loss_D: 0.2943	Loss_G: 4.6876	D(x): 0.9389	D(G(z)): 0.1665 / 0.0184
[16/40][250/504]	Loss_D: 0.7587	Loss_G: 7.4417	D(x): 0.9630	D(G(z)): 0.3861 / 0.0025
[16/40][300/504]	Loss_D: 0.2242	Loss_G: 3.2714	D(x): 0.8536	D(G(z)): 0.0275 / 0.0824
[16/40][350/504]	Loss_D: 0.1390	Loss_G: 3.9320	D(x): 0.9167	D(G(z)): 0.0368 / 0.0398
[16/40][400/504]	Loss_D: 0.1934	Loss_G: 3.6107	D(x): 0.8918	D(G(z)): 0.0501 / 0.0539
[16/40][450/504]	Loss_D: 0.0687	Loss_G: 5.0710	D(x): 0.9676	D(G(z)): 0.0300 / 0.0135
[16/40][500/504]	Loss_D: 0.8545	Loss_G: 1.2773	D(x): 0.5733	D(G(z)): 0.0142 / 0.4697
[17/40][0/504]	Loss_D: 0.3655	Loss_G: 6.5598	D(x): 0.9424	D(G(z)): 0.2063 / 0.0043
[17/40][50/504]	Loss_D: 0.0838	Loss_G: 4.4104	D(x): 0.9432	D(G(z)): 0.0201 / 0.0221
